Name,Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Lars Nootbaar","STL",405,273,91.80958112315498,113.459,5.978594452692573,27,0.0989011,135,0.49450549,0.244252873,0.264,0.416666666,0.455,0.3307730666737058,0.355,"Lars Nootbaar",21454,663457
"LaMonte Wade Jr.","SFG",401,245,90.54816904578189,110.81,12.874407230581276,23,0.09387755,107,0.43673469,0.259818731,0.259,0.380664652,0.428,0.3374564818189114,0.354,"LaMonte Wade Jr.",18126,664774
"Byron Buxton","MIN",388,258,91.72794785610465,113.241,19.799420497214147,34,0.13178295,124,0.48062016,0.278873239,0.264,0.523943661,0.502,0.3656734152665742,0.353,"Byron Buxton",14161,621439
"Riley Greene","DET",584,359,91.28578345070423,114.028,12.191286586707747,48,0.13370474,166,0.46239554,0.26171875,0.253,0.478515625,0.477,0.35539623961366457,0.353,"Riley Greene",25976,682985
"Jordan Westburg","BAL",447,321,91.06146240234375,111.169,13.09723358154297,38,0.11838006,148,0.46105919,0.264423076,0.281,0.48076923,0.491,0.3395621362288437,0.353,"Jordan Westburg",27815,676059
"Giancarlo Stanton","NYY",459,276,94.57240871108058,120.042,14.747057792467949,57,0.20652174,152,0.55072464,0.232613908,0.249,0.474820143,0.509,0.3298972602485306,0.352,"Giancarlo Stanton",4949,519317
"Jonathan India","CIN",637,417,87.18477317330918,110.812,13.47077389039855,32,0.07673861,151,0.36211031,0.247654784,0.266,0.392120075,0.412,0.33337109332948217,0.352,"Jonathan India",21523,663697
"J.D. Martinez","NYM",495,299,90.96971327593538,110.836,14.362419284119898,44,0.14715719,136,0.4548495,0.235023041,0.256,0.405529953,0.472,0.3184588671701746,0.351,"J.D. Martinez",6184,502110
"Christian Walker","ARI",552,354,91.26983642578125,113.913,16.651364413174715,47,0.13276836,170,0.48022599,0.25052192,0.246,0.467640918,0.457,0.3434478165241924,0.351,"Christian Walker",13419,572233
"Ryan O'Hearn","BAL",494,377,89.64670254321808,108.816,11.998789685837766,26,0.06896552,150,0.39787798,0.264108352,0.278,0.426636568,0.461,0.3300667288826733,0.351,"Ryan O'Hearn",16442,656811
"James Wood","WSN",336,198,92.75091211928934,111.642,2.4330132963693685,21,0.10606061,103,0.52020202,0.264406779,0.269,0.427118644,0.439,0.34206041827130673,0.351,"James Wood",29518,695578
"Michael Conforto","SFG",488,323,90.21530617211837,113.555,14.798618209696262,38,0.11764706,148,0.45820433,0.237442922,0.257,0.449771689,0.479,0.32669340829829663,0.35,"Michael Conforto",16376,624424
"Ronald Acuña Jr.","ATL",222,139,92.17876047327898,114.18,8.512754578521287,13,0.09352518,66,0.47482014,0.25,0.261,0.364583333,0.427,0.32185090957461177,0.35,"Ronald Acuna Jr.",18401,660670
